ASV_ID,database,pident,sseqid,length,qcovs,evalue,bitscore,specimen_id,phylum,class,order,family,genus,species,scientific_name,mismatch,gapopen,qstart,qend,sstart,send,accession
ASV_09132,NMNH,99.681,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.35E-165,573,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_09283,NMNH,99.361,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.02E-163,568,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_10071,NMNH,99.361,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.02E-163,568,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_11397,NMNH,98.083,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.47E-157,545,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_12072,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_12073,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_12671,NMNH,99.042,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.41E-162,562,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_13559,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_14036,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_14083,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_14333,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_14448,NMNH,99.361,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.02E-163,568,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_14695,NMNH,98.403,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.04E-158,551,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_18764,NMNH,99.042,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.41E-162,562,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_19070,NMNH,94.667,SH20756|Annelida|Aspidosiphon_elegans,300,96,2.73E-132,464,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_19372,NMNH,99.681,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.35E-165,573,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_19845,NMNH,98.397,SH20756|Annelida|Aspidosiphon_elegans,312,99,7.32E-158,549,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_19960,NMNH,97.764,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.41E-155,540,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_20140,NMNH,91.919,SH20756|Annelida|Aspidosiphon_elegans,297,95,7.75E-118,416,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_20938,NMNH,98.083,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.47E-157,545,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_01405,NMNH,99.681,SH21092|Annelida|Amphinomidae,313,100,4.35E-165,573,SH21092,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21092
ASV_03358,NMNH,99.361,SH21092|Annelida|Amphinomidae,313,100,2.02E-163,568,SH21092,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21092
ASV_06270,NMNH,99.681,SH21092|Annelida|Amphinomidae,313,100,4.35E-165,573,SH21092,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21092
ASV_06491,NMNH,99.042,SH21092|Annelida|Amphinomidae,313,100,9.41E-162,562,SH21092,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21092
ASV_07195,NMNH,99.042,SH21092|Annelida|Amphinomidae,313,100,9.41E-162,562,SH21092,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21092
ASV_09486,NMNH,99.042,SH21092|Annelida|Amphinomidae,313,100,9.41E-162,562,SH21092,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21092
ASV_14199,NMNH,99.681,SH21327|Annelida|Amphinomidae,313,100,4.35E-165,573,SH21327,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21327
ASV_15752,NMNH,100,SH20805|Annelida|Amphinomidae,313,100,9.34E-167,579,SH20805,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH20805
ASV_16701,NMNH,100,SH21327a|Annelida|Amphinomidae,313,100,9.34E-167,579,SH21327a,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21327a
ASV_17969,NMNH,96.166,SH21092|Annelida|Amphinomidae,313,100,9.61E-147,512,SH21092,Annelida,Polychaeta,Amphinomida,Amphinomidae,Amphinomidae^,Amphinomidae^,Amphinomidae^,,,,,,,SH21092
ASV_00092,NMNH,100,SH21517a|Annelida|Eurythoe_complanata_BOLD:AAI5563,313,100,9.34E-167,579,SH21517a,Annelida,Polychaeta,Amphinomida,Amphinomidae,Eurythoe,complanata,Eurythoe_complanata,,,,,,,SH21517a
ASV_10047,NMNH,99.042,SH21115|Annelida|Eurythoe_complanata_BOLD:AAB3312,313,100,9.41E-162,562,SH21115,Annelida,Polychaeta,Amphinomida,Amphinomidae,Eurythoe,complanata,Eurythoe_complanata,,,,,,,SH21115
ASV_14911,NMNH,99.042,SH21115|Annelida|Eurythoe_complanata_BOLD:AAB3312,313,100,9.41E-162,562,SH21115,Annelida,Polychaeta,Amphinomida,Amphinomidae,Eurythoe,complanata,Eurythoe_complanata,,,,,,,SH21115
ASV_00227,NMNH,99.361,SH21047|Annelida|Hermodice_carunculata,313,100,2.02E-163,568,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_00347,NMNH,99.681,SH21014|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21014,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21014
ASV_00361,NMNH,99.681,SH21081|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21081,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21081
ASV_00368,NMNH,100,SH21047|Annelida|Hermodice_carunculata,313,100,9.34E-167,579,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_00390,NMNH,99.361,SH21047|Annelida|Hermodice_carunculata,313,100,2.02E-163,568,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_00561,NMNH,99.681,SH21081|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21081,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21081
ASV_00621,NMNH,100,SH21081|Annelida|Hermodice_carunculata,313,100,9.34E-167,579,SH21081,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21081
ASV_00698,NMNH,99.042,SH21081|Annelida|Hermodice_carunculata,313,100,9.41E-162,562,SH21081,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21081
ASV_00783,NMNH,99.681,SH21047|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_00824,NMNH,100,SH21014|Annelida|Hermodice_carunculata,313,100,9.34E-167,579,SH21014,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21014
ASV_01065,NMNH,100,SH20476|Annelida|Hermodice_carunculata,313,100,9.34E-167,579,SH20476,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH20476
ASV_01116,NMNH,99.042,SH21047|Annelida|Hermodice_carunculata,313,100,9.41E-162,562,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_01287,NMNH,99.361,SH20476|Annelida|Hermodice_carunculata,313,100,2.02E-163,568,SH20476,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH20476
ASV_01464,NMNH,99.361,SH21047|Annelida|Hermodice_carunculata,313,100,2.02E-163,568,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_02755,NMNH,98.722,SH21047|Annelida|Hermodice_carunculata,313,100,4.38E-160,556,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_02973,NMNH,99.681,SH21081|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21081,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21081
ASV_03294,NMNH,99.679,SH21120|Annelida|Hermodice_carunculata,312,99,1.56E-164,571,SH21120,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21120
ASV_03382,NMNH,99.681,SH21085|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21085,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21085
ASV_04775,NMNH,99.361,SH21081|Annelida|Hermodice_carunculata,313,100,2.02E-163,568,SH21081,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21081
ASV_05341,NMNH,99.681,SH21081|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21081,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21081
ASV_05444,NMNH,99.681,SH21014|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21014,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21014
ASV_06419,NMNH,100,SH20520|Annelida|Hermodice_carunculata,313,100,9.34E-167,579,SH20520,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH20520
ASV_09577,NMNH,99.681,SH21047|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
ASV_09774,NMNH,99.681,SH21085|Annelida|Hermodice_carunculata,313,100,4.35E-165,573,SH21085,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21085
ASV_10277,NMNH,100,SH20128|Annelida|Hermodice_carunculata,313,100,9.34E-167,579,SH20128,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH20128
ASV_10648,NMNH,99.042,SH21047|Annelida|Hermodice_carunculata,313,100,9.41E-162,562,SH21047,Annelida,Polychaeta,Amphinomida,Amphinomidae,Hermodice,carunculata,Hermodice carunculata,,,,,,,SH21047
